id,url,title,company,salary,location,work_time,contract_type,scraped_at,description
5417585121,https://www.gumtree.com/p/sales-customer-service-jobs/start-today-real-deal-cash-in-hand-work-become-a-sales-champion-paid-job-immediate-start/5417585121,START TODAY -REAL DEAL -CASH IN HAND WORK- BECOME A SALES CHAMPION - *PAID JOB* - IMMEDIATE START,,,"Kinross, Perth and Kinross",Full Time,Cash in Hand,2025-12-24 00:37:36,"CHARITY FUNDRAISING OPPORTUNITY – ALL EXPERIENCE LEVELS WELCOME! WE NEED YOUR HELP! Our clients work tirelessly to improve the health, wellness and livelihoods for those who require support across the UK through their charities. As they continue to grow, we are currently recruiting enthusiastic and motivated fundraisers to promote their activities and services to the public to raise money to continue making a positive difference to those in need. This is a commission-based role, with part time, full time and temporary opportunities available and fundraisers shall be expected to travel to different locations around the UK to do a street collection in busy areas, which you will be attending with your team leader. Starting between the hours between 9/10AM and return to the office between 5/6PM. Locations are based within or outside London, and the office is based in London, so it is essential that fundraisers can travel to the London area and can travel daily! You will be required to dress role as you will be outside! You must also be at least 18 years old, be fluent with English and be well-presented. SKILLS AND EXPERIENCE We welcome applications from those with experience Sales, Customer Service, Advertising, Promotions, Retail, Call Centre, Hospitality or Marketing. However, this isn’t essential the below skills are most important! · Energised, with an enthusiastic and positive interaction with customers (BIG SMILES ARE ESSENTIAL)! · Well-spoken with excellent communication skills. · Strong time management and organisational skills, with responsibility to attend sites and return to the office on time, with prompt notification to team leader if any issues arise. · Ability to explain and uphold the culture and values of the charity which is being represented on each shift, whilst adhering to the site’s code of conduct. WHAT YOU CAN EXPECT FROM US. · Cash in hand daily after each shift depending on amount of money raised. · A flexible schedule, with shifts booked in weekly. · All marketing and branded charity materials provided, including modern card machines (not everyone has cash!!). · Training from professional sellers in the industry, who constantly support and motivate you to be at your best and develop excellent skills! SOUND LIKE YOU? · WhatsApp the words ‘REAL DEAL’ 07892936771 for fast response from our team. · We shall contact you to provide more details on the role and how to sign up. · To sign up, you will need to visit our office with a proof of address and ID! What are you waiting for? Apply today!!"
5417585126,https://www.gumtree.com/p/sales-customer-service-jobs/cash-in-hand-pay-on-the-day-flexible-hours-be-your-own-boss-work-hard-get-payed-hard-/5417585126,CASH IN HAND - PAY ON THE DAY - FLEXIBLE HOURS - BE YOUR OWN BOSS -WORK HARD GET PAYED HARD,,,"Kinross, Perth and Kinross",Part Time,Cash in Hand,2025-12-24 00:37:36,"AVAILABLE NOW – TEMP WORK | FULL TIME OR PART TIME | FLEXIBLE HOURS Join The Hub Team and help make a difference in your community! We work with a charity supporting homeless members of society by raising awareness and fundraising at pre-booked locations in and around London. We’re looking for friendly, enthusiastic people from all backgrounds who can engage positively with the public and proudly represent our organisation. About the Role: Promote and represent the charity at shopping centres, supermarkets, and stations Collect donations and raise awareness about the charity’s work Work at pre-booked locations – no cold approaching required Field-based role, so you must be able to travel daily What We’re Looking For: London based 18+ and fluent in English Friendly, reliable, and presentable Good communicator with strong time-keeping Sales, marketing, retail, or customer service experience is a bonus (but not essential!) What You Get: Cash paid daily Flexible hours – full time or part time Chance to build confidence and communication skills Meet new people every day Opportunities for growth within the team How to Apply: Text ‘HUB TEAM’ to 07892936771 and a team member will contact you with more info and arrange your training session. Start immediately – we look forward to hearing from you today!"
5417559536,https://www.gumtree.com/p/domestic-jobs/domestic-cleaner-st-helens-area-/5417559536,Domestic Cleaner (St Helens Area),Marc Morris Services Ltd t/a Nationwide Cleaners,From £14/hr,"Victoria Park, London",Part Time,Cash in Hand,2025-12-24 00:37:36,"Do you want local, part time work or wish to top up your current hours? Do you want to work close to home? Do you need work that fits around school hours or a busy family life? We have a number of excellent opportunities for a hard-working, honest and reliable people to join our team We seek friendly, dependable and thorough cleaners with a professional attitude to work in their home area across the St Helens, Haydock and Newton area. You will need to demonstrate high standards, have an eye for detail, bring a positive and energetic approach to your work and go the extra mile to please clients You will travel to clients’ houses in your area and assist with general housework, cleaning, ironing and any other domestic duties that are requested. ** IN ORDER TO APPLY FOR THIS JOB, IT IS IMPORTANT THAT YOU ARE BASED LOCALLY AND YOU SHOULD - LIVE IN ONE OF THE FOLLOWING POSTCODES - WA9, WA10, WA11 WA12 L34 L35 ** ** Advantages • You can start immediately subject to reference check • You select the jobs that suit you and that are in your area and work sociable hours (Monday to Friday between 9.00am until 4.00pm) – there is very occasional evening and weekend work available which you may decline if you wish. • Regular jobs are paid at £14.00 per hour (most jobs are 2-3hrs per client). One off cleans are minimum £16 per hour. • You get paid the day you work - and in cash • The client provides all cleaning materials and equipment. • We don't make any deductions from your pay - you keep all your earnings! • Your weekly commitment is up to you. You decide when you are available (if you only want to work 2 days per week, that’s fine!). • You meet all clients/view all jobs before committing to them. • Company provides full insurance cover whilst you are at clients homes. • Full back up from a friendly and supportive company who will assist you in the event of queries arising."
5417600640,https://www.gumtree.com/p/sales-customer-service-jobs/cash-in-hand-pay-on-the-day-flexible-hours-be-your-own-boss-work-hard-get-payed-hard-/5417600640,CASH IN HAND - PAY ON THE DAY - FLEXIBLE HOURS - BE YOUR OWN BOSS -WORK HARD GET PAYED HARD,,,"Kinross, Perth and Kinross",Part Time,Cash in Hand,2025-12-24 00:37:39,"AVAILABLE NOW – TEMP WORK | FULL TIME OR PART TIME | FLEXIBLE HOURS Join The Hub Team and help make a difference in your community! We work with a charity supporting homeless members of society by raising awareness and fundraising at pre-booked locations in and around London. We’re looking for friendly, enthusiastic people from all backgrounds who can engage positively with the public and proudly represent our organisation. About the Role: Promote and represent the charity at shopping centres, supermarkets, and stations Collect donations and raise awareness about the charity’s work Work at pre-booked locations – no cold approaching required Field-based role, so you must be able to travel daily What We’re Looking For: London based 18+ and fluent in English Friendly, reliable, and presentable Good communicator with strong time-keeping Sales, marketing, retail, or customer service experience is a bonus (but not essential!) What You Get: Cash paid daily Flexible hours – full time or part time Chance to build confidence and communication skills Meet new people every day Opportunities for growth within the team How to Apply: Text ‘HUB TEAM’ to 07892936771 and a team member will contact you with more info and arrange your training session. Start immediately – we look forward to hearing from you today!"
5417585118,https://www.gumtree.com/p/sales-customer-service-jobs/start-today-real-deal-cash-in-hand-work-become-a-sales-champion-paid-job-immediate-start/5417585118,START TODAY -REAL DEAL -CASH IN HAND WORK- BECOME A SALES CHAMPION - *PAID JOB* - IMMEDIATE START,,,"Kinross, Perth and Kinross",Full Time,Cash in Hand,2025-12-24 00:37:39,"CHARITY FUNDRAISING OPPORTUNITY – ALL EXPERIENCE LEVELS WELCOME! WE NEED YOUR HELP! Our clients work tirelessly to improve the health, wellness and livelihoods for those who require support across the UK through their charities. As they continue to grow, we are currently recruiting enthusiastic and motivated fundraisers to promote their activities and services to the public to raise money to continue making a positive difference to those in need. This is a commission-based role, with part time, full time and temporary opportunities available and fundraisers shall be expected to travel to different locations around the UK to do a street collection in busy areas, which you will be attending with your team leader. Starting between the hours between 9/10AM and return to the office between 5/6PM. Locations are based within or outside London, and the office is based in London, so it is essential that fundraisers can travel to the London area and can travel daily! You will be required to dress role as you will be outside! You must also be at least 18 years old, be fluent with English and be well-presented. SKILLS AND EXPERIENCE We welcome applications from those with experience Sales, Customer Service, Advertising, Promotions, Retail, Call Centre, Hospitality or Marketing. However, this isn’t essential the below skills are most important! · Energised, with an enthusiastic and positive interaction with customers (BIG SMILES ARE ESSENTIAL)! · Well-spoken with excellent communication skills. · Strong time management and organisational skills, with responsibility to attend sites and return to the office on time, with prompt notification to team leader if any issues arise. · Ability to explain and uphold the culture and values of the charity which is being represented on each shift, whilst adhering to the site’s code of conduct. WHAT YOU CAN EXPECT FROM US. · Cash in hand daily after each shift depending on amount of money raised. · A flexible schedule, with shifts booked in weekly. · All marketing and branded charity materials provided, including modern card machines (not everyone has cash!!). · Training from professional sellers in the industry, who constantly support and motivate you to be at your best and develop excellent skills! SOUND LIKE YOU? · WhatsApp the words ‘REAL DEAL’ 07892936771 for fast response from our team. · We shall contact you to provide more details on the role and how to sign up. · To sign up, you will need to visit our office with a proof of address and ID! What are you waiting for? Apply today!!"
5417607373,https://www.gumtree.com/p/massage-therapists-jobs/massage-therapists-wanted-for-a-busy-shop/5417607373,Massage Therapists wanted for a Busy Shop,,,"Lambeth, London",Part Time,Cash in Hand,2025-12-24 00:37:39,"We are an established busy shop in NW9 offering a variety of massages. Looking for professional therapists with qualifications. We start at 11am and finish at 10pm every day. Paid in cash at the end of every day. Must be able to speak good English. Must have excellent customer skills. You will be asked to attend an interview and if successful you will be allocated a ""trial day"" you will have a job offer at the end of the day if we consider you to be suitable."
5417607310,https://www.gumtree.com/p/massage-therapists-jobs/massage-therapist/5417607310,Massage Therapist,,,"Kingsbury, London",Full Time,Cash in Hand,2025-12-24 00:37:41,"We are looking for a skilled, caring, and reliable Massage Therapist to join our welcoming massage business. This is a great opportunity for someone who is passionate about helping clients relax, recover, and feel their best in a calm, professional environment. Responsibilities: Provide high-quality massage treatments tailored to individual client needs Create a safe, comfortable, and relaxing experience for every client Maintain a clean and organized treatment space Communicate professionally with clients about their needs and preferences Uphold high standards of hygiene, professionalism, and client care Requirements: Some experience working in massage Strong interpersonal and communication skills Professional, respectful, and client-focused attitude Reliable and punctual Ability to work independently and as part of a small team What We Offer: Friendly and supportive work environment Flexible working hours Competitive pay Opportunity to grow with a developing business A calm, positive workplace focused on wellness and care If you are passionate about massage therapy and delivering excellent client experiences, we’d love to hear from you."
5417607186,https://www.gumtree.com/p/delivery-driver-jobs/start-today....for-people-with-own-cars-only-night-shifts-only/5417607186,START TODAY....FOR PEOPLE WITH OWN CARS ONLY---NIGHT SHIFTS ONLY,,700-800£,"North London, London",Full Time,Cash in Hand,2025-12-24 00:37:41,THIS IS NIGHT SHIFT JOB ONLY!! WE ARE LOOKING FOR MOTIVATED PEOPLE TO JOIN OUR FRIENDLY TEAM.THEY MUST HAVE OWN CAR TO WORK WITH(VANS ARE NOT EXCEPTED).WE ARE OPERATING IN ALL LONDON AND SURROUNDING AREAS.THIS IS MOSTLY CASH PAYMENT JOB WITH GOOD INCOME. 6 DAYS IN AND 1 DAY OFF. FOR MORE INFO TO START TODAY PLEASE CONTACT US TROUGH VIBER OR WHATSUPP APP. BEST REGARDS... JAMES DOYLE
5417604725,https://www.gumtree.com/p/domestic-jobs/cleaning-job-part-time-muswell-hill-friern-barnet-areas-private-houses-domestic-cleaner-work/5417604725,Cleaning job part time Muswell Hill + Friern Barnet areas: private houses domestic cleaner work,www.cleanerjobslondon.com,£13.00 - £14.00 per hour,"Victoria Park, London",Part Time,Cash in Hand,2025-12-24 00:37:41,"Job to start immediately, £13.00 - £14.00 /hr for domestic cleaner. Best house cleaning jobs in Friern Barnet, Barnet, Muswell Hill, etc... Get ongoing, steady work. Have the same regular houses every week. Up to ca 15-20 hrs weekly. Receive payment immediately every day (no payment delay) Get paid good money, £££ 12.75 - £13.50 per hour in the Southgate areas and Barnet + Muswell Hill areas £13.00 - £14.00 /hr. (Up to £420/week FT equivalent + tips). You must be: * very good at domestic cleaning. * 100% honest. * totally reliable. * a very good communicator. You will be cleaning busy family homes etc; dusting, hoovering, wiping, mopping, polishing, etc. Sometimes a bit of ironing. Each house generally about 3 hrs per visit. Apply now if you are a very good cleaning person, completely honest and reliable, and you want to work part time (up to 15-20 hours weekly). Don't forget to put your name, postcode, and how many hours you can work every week. You must live maximum 4 miles / 6 km from the above mentioned areas. Just apply now using the online form. *"
5417604722,https://www.gumtree.com/p/domestic-jobs/cleaning-job-part-time-east-finchley-friern-barnet-areas-private-houses-domestic-cleaner-work/5417604722,Cleaning job part time East Finchley + Friern Barnet areas: private houses domestic cleaner work,www.cleanerjobslondon.com,£13.00 - £14.00 per hour,"Victoria Park, London",Part Time,Cash in Hand,2025-12-24 00:37:44,"Job to start immediately, £13.00 - £14.00 /hr for domestic cleaner. Best house cleaning jobs in East Finchley, Friern Barnet, Hampstead Garden Suburb, etc... Get ongoing, steady work. Have the same regular houses every week. Up to ca 15-20 hrs weekly. Receive payment immediately every day (no payment delay) Get paid good money, £££ 12.50 - £13.50 per hour in the Southgate areas and in East Finchley, Hampstead Garden Suburb areas £13.00 - £14.00 /hr. (Up to £420/week FT equivalent + tips). You must be: * very good at domestic cleaning. * 100% honest. * totally reliable. * a very good communicator. You will be cleaning busy family homes etc; dusting, hoovering, wiping, mopping, polishing, etc. Sometimes a bit of ironing. Each house generally about 3 hrs per visit. Apply now if you are a very good cleaning person, completely honest and reliable, and you want to work part time (up to 15-20 hours weekly). Don't forget to put your name, postcode, and how many hours you can work every week. You must live maximum 4 miles / 6 km from the above mentioned areas. Just apply now using the online form. *"
