job_id,job_posting_url,company_name,title,location,description_clean,desc_len,work_type,contract_type,contract_type_raw,remote_allowed,salary_min,salary_max,pay_period_raw,currency,salary_source,pay_period,salary_suspect,salary_unit_conflict,salary_annual_min,salary_annual_max,salary_outlier_monthly,salary_outlier_hourly,title_hint,years_hint,experience_label,is_confident,platform_experience_label,scraped_time_ms,original_listed_time,lang
doradca-klienta-protetyk-sluchu-CID4-ID17IpxK,https://www.olx.pl/oferta/praca/doradca-klienta-protetyk-sluchu-CID4-ID17IpxK.html,UNKNOWN,Doradca Klienta / Protetyk Słuchu,Elbląg,"Firma Marmed S.A. zajmuje się opieką nad osobami niedosłyszącymi od 1990 roku. Obecnie do jednego z naszych oddziałów szukamy osoby na stanowisko: Doradca Klienta / Protetyk Słuchu ﻿ Twoje zadania: Kompleksowa obsługa Pacjenta Przeprowadzanie badań słuchu Współpraca z laryngologiem Opieka posprzedażowa Analiza CRM Budowanie i utrzymywanie długofalowych relacji z Pacjentem Oczekujemy: Indywidualnego podejścia do każdego Klienta Komunikatywności i wysokiej kultury osobistej Oferujemy: Umowę o pracę od poniedziałku do piątku Wynagrodzenie podstawowe oraz premia sprzedażowa Szkolenia i rozwój w strukturach firmy Przyjazną atmosferę pracy w firmie Jeżeli chcesz dołączyć do naszego Zespołu, prześlij swoje CV wraz ze zdjęciem za pomocą poniższego formularza. Informujemy, że skontaktujemy się tylko z wybranymi kandydatami.",826,FULL_TIME,Umowa o pracę,Umowa o pracę,,,,,,NONE,,False,False,,,False,False,,,,False,,1760193831000,1760193831000,pl
prace-magazynowe-bez-doswiadczenia-elastyczne-godz-dhl-wloclawek-CID4-ID17HNE6,https://www.olx.pl/oferta/praca/prace-magazynowe-bez-doswiadczenia-elastyczne-godz-dhl-wloclawek-CID4-ID17HNE6.html,UNKNOWN,"Prace magazynowe, bez doświadczenia, elastyczne godz., DHL Włocławek",Włocławek,"Osoba do prac magazynowych ​ OFERUJEMY:​ · Współpracę na podstawie umowy zlecenia​ · Elastyczne godziny pracy​ - praca w godzinach porannych do 11:00 i popołudniowych do 19:00, możliwa praca w soboty · Możliwość rozwoju poprzez udział w rekrutacjach wewnętrznych TWOJE ZADANIA:​ ​· Układanie przesyłek (taśmociąg - transport liniowy) ​ · Procesowanie przesyłek w wyznaczonej strefie​ · Dbanie i zapobieganie uszkodzeniu przesyłek w trakcie ich procesowania​ ​NASZE OCZEKIWANIA:​ · Umiejętność planowania i organizacji pracy​ · Umiejętność współpracy w zespole​ ​ DHL eCommerce (Poland) sp. z o.o. („DHL”) żąda podania jedynie takich danych osobowych, które są niezbędne do podjęcia decyzji o rozpoczęciu współpracy. W szczególności DHL nie żąda przesyłania zdjęcia. Podanie przez Ciebie danych osobowych przekraczających zakres danych osobowych wymaganych przez DHL oznacza wyrażenie przez Ciebie zgody na przetwarzanie tych danych. Przesłanie przez Ciebie zdjęcia, oznacza wyrażenie wyraźnej zgody na przetwarzanie danych nim objętych. Jeśli przekazane przez Ciebie dokumenty aplikacyjne zawierają dane, o których mowa w art. 9 ust. W przypadku kandydatów na kurierów/kurierki, dane osobowe zostaną udostępnione wybranym przewoźnikom, którzy zatrudniają takie osoby w ramach współpracy z DHL. z o.o. z siedzibą w Warszawie, przy ul. Osmańskiej 2, 02-823 Warszawa, moich danych osobowych zawartych w dokumentach aplikacyjnych na potrzeby przyszłych rekrutacji przez okres 12 miesięcy od momentu otrzymania danych przez DHL/przesłania przeze mnie zgłoszenia rekrutacyjnego.” Możesz z łatwością cofnąć zgodę w dowolnym momencie. Wycofanie zgody nie wpływa na zgodność z prawem przetwarzania dokonanego przed jej wycofaniem. Administratorem Twoich danych osobowych zawartych w zgłoszeniu jest DHL eCommerce (Poland) sp. z o.o. z siedzibą w Warszawie, przy ul. Osmańskiej 2, 02-823 Warszawa. Masz także prawo do wniesienia w dowolnym momencie sprzeciwu wobec przetwarzania – z przyczyn związanych ze swoją szczególną sytuacją. Więcej informacji znajdziesz pod poniższym linkiem: Rekrutacja (umowy cywilno-prawne) Uprzejmie informujemy, że w DHL eCommerce (Poland) sp. z o.o. obowiązuje procedura zgłoszeń wewnętrznych pozwalająca na zgłoszenie informacji o naruszeniu prawa.",2270,PART_TIME,Umowa zlecenie,Umowa zlecenie,,,,,,NONE,,False,False,,,False,False,,,,False,,1760193844000,1760193844000,pl
operator-wozka-widlowego-CID4-IDMdaPE,https://www.olx.pl/oferta/praca/operator-wozka-widlowego-CID4-IDMdaPE.html,UNKNOWN,Operator Wózka Widłowego,Winnica,"Grupa Lactalis najbardziej znana jest ze swoich wyrobów. Wysoka jakość i wyjątkowy smak są dewizą produktów znanych pod międzynarodowymi markami President oraz Galbani. Aktualnie do Zakładu Mleczarskiego Winnica Sp. z o.o. poszukujemy osoby do pracy na stanowisku: Operator Wózka Opis stanowiska: Przygotowywanie miejsca w magazynie do przyjęcia towaru Rozładowywanie dostaw do magazynów Przygotowuje i przepakowywanie materiałów potrzebnych do produkcji i transport do budynku produkcyjnego Prace pomocnicze w magazynie Czego oczekujemy od kandydata/kandydatki? Uprawnienia UDT do kierowania wózkiem widłowym Dyspozycyjność (praca na 3 zmiany, również w weekendy) Mile widziane doświadczenie w pracy na podobnym stanowisku Mile widziane wykształcenie średnie Mile widziana znajomość obsługi komputera Oferujemy: Pracę w stabilnej międzynarodowej firmie Przyjazne środowisko pracy Atrakcyjny pakiet benefitów m.in. ubezpieczenie na życie, opiekę medyczną Dofinansowanie do wypoczynku Możliwość rozwoju zawodowego Osoby zainteresowane prosimy o przesłanie CV. Kontakt z Działem Zasobów Ludzkich pod numerem 53*******75. Dziękujemy za zainteresowanie naszą ofertą pracy. Ustaw z 2018, poz. Informujemy, że Administratorem danych jest Lactalis Polska Sp. z o.o. z siedzibą w Warszawie przy ul. Olkuskiej 7. Dane zbierane są dla potrzeb rekrutacji. Dane osobowe mogą być przekazywane przez Lactalis Polska sp. z o.o. do Zakładu Mleczarskiego Winnica Sp. z o.o. Ma Pani/Pan prawo dostępu do treści swoich danych oraz ich poprawiania. Podanie danych w zakresie określonym przepisami ustawy z dnia 26 czerwca 1974 r. Podanie dodatkowych danych osobowych jest dobrowolne i wymaga Pani/Pana wyraźnej zgody.",1697,FULL_TIME,Umowa o pracę,Umowa o pracę,,,,,,NONE,,False,False,,,False,False,,,,False,,1760193870000,1760193870000,pl
prace-magazynowe-bez-doswiadczenia-elastyczne-godz-dhl-opole-CID4-ID17HON3,https://www.olx.pl/oferta/praca/prace-magazynowe-bez-doswiadczenia-elastyczne-godz-dhl-opole-CID4-ID17HON3.html,UNKNOWN,"Prace magazynowe, bez doświadczenia, elastyczne godz., DHL Opole",Opole,"Osoba do prac magazynowych ​ OFERUJEMY:​ · Współpracę na podstawie umowy zlecenia​ · Elastyczne godziny pracy​, możliwa praca w soboty · Możliwość rozwoju poprzez udział w rekrutacjach wewnętrznych TWOJE ZADANIA:​ ​· Układanie przesyłek (taśmociąg - transport liniowy) ​ · Procesowanie przesyłek w wyznaczonej strefie​ · Dbanie i zapobieganie uszkodzeniu przesyłek w trakcie ich procesowania​ ​NASZE OCZEKIWANIA:​ · Umiejętność planowania i organizacji pracy​ · Umiejętność współpracy w zespole​ ​ DHL eCommerce (Poland) sp. z o.o. („DHL”) żąda podania jedynie takich danych osobowych, które są niezbędne do podjęcia decyzji o rozpoczęciu współpracy. W szczególności DHL nie żąda przesyłania zdjęcia. Podanie przez Ciebie danych osobowych przekraczających zakres danych osobowych wymaganych przez DHL oznacza wyrażenie przez Ciebie zgody na przetwarzanie tych danych. Przesłanie przez Ciebie zdjęcia, oznacza wyrażenie wyraźnej zgody na przetwarzanie danych nim objętych. Jeśli przekazane przez Ciebie dokumenty aplikacyjne zawierają dane, o których mowa w art. 9 ust. W przypadku kandydatów na kurierów/kurierki, dane osobowe zostaną udostępnione wybranym przewoźnikom, którzy zatrudniają takie osoby w ramach współpracy z DHL. z o.o. z siedzibą w Warszawie, przy ul. Osmańskiej 2, 02-823 Warszawa, moich danych osobowych zawartych w dokumentach aplikacyjnych na potrzeby przyszłych rekrutacji przez okres 12 miesięcy od momentu otrzymania danych przez DHL/przesłania przeze mnie zgłoszenia rekrutacyjnego.” Możesz z łatwością cofnąć zgodę w dowolnym momencie. Wycofanie zgody nie wpływa na zgodność z prawem przetwarzania dokonanego przed jej wycofaniem. Administratorem Twoich danych osobowych zawartych w zgłoszeniu jest DHL eCommerce (Poland) sp. z o.o. z siedzibą w Warszawie, przy ul. Osmańskiej 2, 02-823 Warszawa. Masz także prawo do wniesienia w dowolnym momencie sprzeciwu wobec przetwarzania – z przyczyn związanych ze swoją szczególną sytuacją. Więcej informacji znajdziesz pod poniższym linkiem: Rekrutacja (umowy cywilno-prawne) Uprzejmie informujemy, że w DHL eCommerce (Poland) sp. z o.o. obowiązuje procedura zgłoszeń wewnętrznych pozwalająca na zgłoszenie informacji o naruszeniu prawa.",2205,PART_TIME,Umowa zlecenie,Umowa zlecenie,,,,,,NONE,,False,False,,,False,False,,,,False,,1760193870000,1760193870000,pl
pracownik-czka-gastronomii-w-restauracji-i-kawiarni-ikea-krakow-CID4-ID17CjsM,https://www.olx.pl/oferta/praca/pracownik-czka-gastronomii-w-restauracji-i-kawiarni-ikea-krakow-CID4-ID17CjsM.html,UNKNOWN,"Pracownik/-czka Gastronomii w Restauracji i Kawiarni, IKEA, Kraków","Kraków, Prądnik Biały","Pracownik/Pracowniczka Gastronomii w Restauracji i Kawiarni IKEA (3/4 etatu), IKEA Retail, Kraków Jeździsz do sklepu IKEA na obiad? Dostrzegasz potrzeby innych, zanim oni je zauważą? Wyśmienicie! Do naszego zespołu w Restauracji i Kawiarni IKEA szukamy ludzi, którzy lubią, kiedy dużo się dzieje, chętnie zdobywają nową wiedzę i chcą, by ich praca sprawiała radość innym. Tutaj, w sklepie w Krakowie, możesz spróbować wszystkiego! TWOJE PRZYSZŁE ZADANIA: · przygotowywanie posiłków oraz przekąsek w Restauracji i Kawiarni IKEA, · dbanie o atrakcyjną prezentację menu, · obsługa kasy fiskalnej i terminala płatniczego, · dbanie o zadowolenie klientów Restauracji/Kawiarni IKEA, · dbanie o czystość i porządek swojego miejsca pracy, · praca w trybie zmianowym - w dni robocze, soboty oraz niedziele handlowe. O TOBIE: · lubisz pracę z klientami, · dobrze czujesz się w pracy w zespole, · jesteś otwarty/-a na ludzi i z łatwością nawiązujesz kontakty, · znasz język polski na poziomie komunikatywnym, · masz gotowość do pracy fizycznej, · masz gotowość do pracy na 3/4 etatu, · posiadasz doświadczenie w pracy w branży gastronomicznej (mile widziane), · posiadasz aktualną książeczkę badań sanitarno-epidemiologicznych (mile widziane). W IKEA MAMY DLA CIEBIE: · umowę o pracę na 3-miesięczny okres próbny, przedłużaną następnie na czas nieokreślony po pozytywnej ocenie przełożonego, · restaurację pracowniczą, a w niej m.in. dwudaniowy obiad za 1,40 zł, · 15% zniżkę pracowniczą na zakupy w IKEA, · rozszerzony pakiet opieki medycznej Medicover, · kartę Multisport, · dodatkowe wynagrodzenie za każdą godzinę przepracowaną w nocy lub w weekend, · punkty do wydania w kafeterii np. na kino, zakupy, restauracje, wycieczki, · darmowy dostęp do platformy umożliwiającej naukę języków obcych, · przelew, kartę upominkową IKEA lub kartę przedpłaconą na zakupy świąteczne, z okazji ślubu, jubileuszu pracy, urodzenia/przysposobienia/przyjęcia na wychowanie dziecka Pracownika, · 26 (zamiast ustawowych 20) dni urlopu na start dla wszystkich, po podpisaniu umowy na czas nieokreślony, · dodatkowe dni wolne urlopu ojcowskiego IKEA z okazji narodzin lub adopcji dziecka, · premię roczną uznaniową zależną od wyników IKEA, · prywatny plan emerytalny (PPE), · ubezpieczenie na życie (NNW), · kredyt 0% na zakupy w IKEA, · Program Wsparcia Pracownika: dostęp do konsultacji ze specjalistami w ramach wsparcia osobistego, prawnego, finansowego i zdrowotnego (Infolinia 24/7 oraz indywidualne sesje), · grafiki przekazywane z wyprzedzeniem. W IKEA dobrze wiemy, że nasza praca… znaczy więcej. Nie tylko dla naszych klientów, ale i dla nas samych. Tutaj doceniamy różnorodność i tworzymy przyjazne środowisko pracy, w którym wszyscy mają zapewnione równe szanse. Dołącz do naszego zespołu, by się o tym przekonać i razem z nami tworzyć fajne miejsce pracy. Aplikuj już dziś!",2858,PART_TIME,Umowa o pracę,Umowa o pracę,,,,,,NONE,,False,False,,,False,False,,,,False,,1760193870000,1760193870000,pl
praca-w-niemczech-na-produkcji-slodyczy-zapewnione-mieszkanie-CID4-ID17CCvr,https://www.olx.pl/oferta/praca/praca-w-niemczech-na-produkcji-slodyczy-zapewnione-mieszkanie-CID4-ID17CCvr.html,UNKNOWN,Praca w Niemczech na produkcji słodyczy! Zapewnione mieszkanie!,"Kraków, Swoszowice","MGcentral dla MGsolutions MGJJ Sp. z o.o. Sp. k. - Agencji Pracy Tymczasowej oraz Doradztwa Personalnego z siedzibą w Krakowie przy ul. Myślenickiej 133, posiadającej polski certyfikat o numerze rejestru 9466 oraz niemiecki certyfikat agencji zatrudnienia (Erlaubnis zur Arbeitnehmerueberlassung, BfA Duesseldorf) specjalizującej się w świadczeniu usług w ramach pracy tymczasowej w Polsce i za granicą oraz rekrutacji stałej na stanowiska niskiego i średniego szczebla oraz prace specjalistyczne poszukuje osób zainteresowanych pracą jako: Pracownik produkcji słodyczy. Miejsce pracy: Niemcy! Opis stanowiska Praca przy taśmie przy produkcji słodyczy - czekoladek Pakowanie / układanie towaru do opakowań Proste prace pomocnicze Wymagania stanowiska Gotowość do pracy na pełen etat w systemie 2-zmianowym Znajomość języka oraz doświadczenie nie są wymagane Oferujemy Umowa o pracę na pełet etat (niemieckie prawo pracy i płacy!) Stawka godzinowa + dodatki i premie Mieszkanie firmowe Stałe wsparcie dwujęzycznych opiekunów projektu MOŻLIWOŚĆ WYJAZDU W PARZE / GRUPIE (wspólne mieszkanie i grafik pracy!)",1104,FULL_TIME,Umowa o pracę,Umowa o pracę,,,,,,NONE,,False,False,,,False,False,,,,False,,1760193883000,1760193883000,pl
prace-magazynowe-bez-doswiadczenia-elastyczne-godz-dhl-legnica-CID4-ID17HO9S,https://www.olx.pl/oferta/praca/prace-magazynowe-bez-doswiadczenia-elastyczne-godz-dhl-legnica-CID4-ID17HO9S.html,UNKNOWN,"Prace magazynowe, bez doświadczenia, elastyczne godz., DHL Legnica",Legnica,"Osoba do prac magazynowych ​ OFERUJEMY:​ · Współpracę na podstawie umowy zlecenia​ · Elastyczne godziny pracy​ - praca w godzinach popołudniowych · Możliwość rozwoju poprzez udział w rekrutacjach wewnętrznych TWOJE ZADANIA:​ ​· Układanie przesyłek (taśmociąg - transport liniowy) ​ · Procesowanie przesyłek w wyznaczonej strefie​ · Dbanie i zapobieganie uszkodzeniu przesyłek w trakcie ich procesowania​ ​NASZE OCZEKIWANIA:​ · Umiejętność planowania i organizacji pracy​ · Umiejętność współpracy w zespole​ ​ DHL eCommerce (Poland) sp. z o.o. („DHL”) żąda podania jedynie takich danych osobowych, które są niezbędne do podjęcia decyzji o rozpoczęciu współpracy. W szczególności DHL nie żąda przesyłania zdjęcia. Podanie przez Ciebie danych osobowych przekraczających zakres danych osobowych wymaganych przez DHL oznacza wyrażenie przez Ciebie zgody na przetwarzanie tych danych. Przesłanie przez Ciebie zdjęcia, oznacza wyrażenie wyraźnej zgody na przetwarzanie danych nim objętych. Jeśli przekazane przez Ciebie dokumenty aplikacyjne zawierają dane, o których mowa w art. 9 ust. W przypadku kandydatów na kurierów/kurierki, dane osobowe zostaną udostępnione wybranym przewoźnikom, którzy zatrudniają takie osoby w ramach współpracy z DHL. z o.o. z siedzibą w Warszawie, przy ul. Osmańskiej 2, 02-823 Warszawa, moich danych osobowych zawartych w dokumentach aplikacyjnych na potrzeby przyszłych rekrutacji przez okres 12 miesięcy od momentu otrzymania danych przez DHL/przesłania przeze mnie zgłoszenia rekrutacyjnego.” Możesz z łatwością cofnąć zgodę w dowolnym momencie. Wycofanie zgody nie wpływa na zgodność z prawem przetwarzania dokonanego przed jej wycofaniem. Administratorem Twoich danych osobowych zawartych w zgłoszeniu jest DHL eCommerce (Poland) sp. z o.o. z siedzibą w Warszawie, przy ul. Osmańskiej 2, 02-823 Warszawa. Masz także prawo do wniesienia w dowolnym momencie sprzeciwu wobec przetwarzania – z przyczyn związanych ze swoją szczególną sytuacją. Więcej informacji znajdziesz pod poniższym linkiem: Rekrutacja (umowy cywilno-prawne) Uprzejmie informujemy, że w DHL eCommerce (Poland) sp. z o.o. obowiązuje procedura zgłoszeń wewnętrznych pozwalająca na zgłoszenie informacji o naruszeniu prawa.",2216,PART_TIME,Umowa zlecenie,Umowa zlecenie,,,,,,NONE,,False,False,,,False,False,,,,False,,1760193883000,1760193883000,pl
pracownik-sklepu-umowa-zlecenie-jula-opole-CID4-ID17L4Lp,https://www.olx.pl/oferta/praca/pracownik-sklepu-umowa-zlecenie-jula-opole-CID4-ID17L4Lp.html,UNKNOWN,Pracownik sklepu - umowa zlecenie - JULA Opole,Opole,"Do naszego Multimarketu JULA w Opolu (Ozimska Park) poszukujemy osoby, która wesprze zespół w pracach związanych z rozkładaniem towaru i obsługą kasy fiskalnej. Czego oczekujemy? · Optymizmu i chęci do pracy w handlu · Zaangażowania, odpowiedzialności, efektywności · Umiejętności komunikacyjnych i współpracy z zespołem Co oferujemy?: · Umowę zlecenie · Elastyczny grafik · Przyjazną atmosferę",394,PART_TIME,Umowa zlecenie,Umowa zlecenie,,,,,,NONE,,False,False,,,False,False,,,,False,,1760193883000,1760193883000,pl
magazynier-osoba-do-zaladunku-mebli-jurek-meble-CID4-ID14K4Vi,https://www.olx.pl/oferta/praca/magazynier-osoba-do-zaladunku-mebli-jurek-meble-CID4-ID14K4Vi.html,UNKNOWN,Magazynier - osoba do załadunku mebli - JUREK MEBLE,Jankowy,"Firma JUREK MEBLE w związku z ciągłym rozwojem zatrudni magazyniera - osobę do załadunku mebli na magazynie wyrobów gotowych - meble twarde. Firma posiada system magazynowy ze skanerami co bardzo ułatwia obsługę magazynu, dodatkowo posiada duże zaplecze różnego rodzaju wózków jezdnych i widłowych, dzięki czemu praca staje się bardziej komfortowa, a za razem lżejsza. Oferujemy bardzo dobre warunki pracy i płacy. Kontakt w siedzibie firmy Jankowy 74A, 63-604 Baranów, bądź telefonicznie 62 78**********603 789 888.",516,FULL_TIME,Umowa o pracę,Umowa o pracę,,,,,,NONE,,False,False,,,False,False,,,,False,,1760193999000,1760193999000,pl
pracownik-biurowy-szkola-jazdy-expert-warszawa-brodno-CID4-ID17Ijop,https://www.olx.pl/oferta/praca/pracownik-biurowy-szkola-jazdy-expert-warszawa-brodno-CID4-ID17Ijop.html,UNKNOWN,Pracownik biurowy Szkoła Jazdy Expert Warszawa - Bródno,"Warszawa, Targówek","Ośrodek Szkolenia Kierowców poszukuje pracownika biurowego ds. obsługi klienta Jeśli jesteś osobą komunikatywną, dobrze zorganizowaną i chcesz pracować w dynamicznym środowisku — dołącz do naszego zespołu! Zakres obowiązków: Profesjonalna obsługa potencjalnych i obecnych kursantów. Odbieranie i wysyłanie korespondencji e-mail. Prowadzenie rozmów telefonicznych, udzielanie informacji i doradztwo w zakresie oferty szkoleniowej. Obsługa programów MS Office (Word, Excel) oraz kalendarza Google. Budowanie i utrzymywanie pozytywnych relacji z klientami. Wymagania: Wysokie umiejętności komunikacyjne i interpersonalne. Dobra organizacja pracy i samodzielność w realizacji zadań. Umiejętność pracy w zespole. Pozytywne nastawienie i chęć nauki nowych umiejętności. Oferujemy: Pracę w rozwijającym się ośrodku szkolenia kierowców. Przyjazną atmosferę i wsparcie profesjonalnego zespołu. Możliwość rozwoju zawodowego i podnoszenia kwalifikacji. Zainteresowane osoby prosimy o przesłanie CV do dnia 10.10.2025 r. Zastrzegamy sobie prawo do kontaktu tylko z wybranymi kandydatami.",1075,FULL_TIME,"Samozatrudnienie, Umowa zlecenie","Samozatrudnienie, Umowa zlecenie",,,,,,NONE,,False,False,,,False,False,,,,False,,1760193999000,1760193999000,pl
