job_id,job_posting_url,company_name,title,location,description_clean,desc_len,work_type,contract_type,contract_type_raw,remote_allowed,salary_min,salary_max,pay_period_raw,currency,salary_source,pay_period,salary_suspect,salary_unit_conflict,salary_annual_min,salary_annual_max,salary_outlier_monthly,salary_outlier_hourly,title_hint,years_hint,experience_label,is_confident,platform_experience_label,scraped_time_ms,original_listed_time,lang
pracownik-restauracji-pasibus-czekoladowa-bielany-wroclawskie-CID4-ID15V97M,https://www.olx.pl/oferta/praca/pracownik-restauracji-pasibus-czekoladowa-bielany-wroclawskie-CID4-ID15V97M.html,UNKNOWN,"Pracownik Restauracji Pasibus, Czekoladowa, Bielany Wrocławskie",Kobierzyce,"Nasza historia zaczęła się ponad 10 lat temu w food trucku. Twoja może rozpocząć się właśnie teraz – i to w wielkim stylu. Wsiadaj do naszego pierwszego lokalu z Drive-Thru w Polsce. Ruszamy? Po pierwsze CEL Na tym stanowisku będziesz odpowiadać za przygotowanie naszych potraw i obsługę klientów przy barze. Twój BAGAŻ, czyli co musisz wziąć ze sobą: Pozytywne nastawienie do działania, Szczerość i otwartość, Dyspozycyjność oraz gotowości do pracy również w weekendy. DROGA, czyli co z nami poznasz: Tajniki pracy w zespole: Doświadczysz pracy w dynamicznym zespole, gdzie współpraca i wzajemne wsparcie są kluczowe dla sukcesu, Zasady Bezpieczeństwa i Higieny Pracy: Poznasz i przestrzegasz najwyższych standardów bezpieczeństwa, higieny pracy oraz bezpieczeństwa żywności, Efektywną pracę w środowisku, gdzie czas jest kluczowy, co rozwija umiejętność radzenia sobie w zmieniających się warunkach. Jeżeli jeszcze nie wiesz, czy ruszasz z nami, rozwiewamy wątpliwości: Dodatkowe $$$$ za godziny noce, program poleceń pracowniczych pakiet multisport oraz opieka medyczna Luxmed w atrakcyjnych cenach, no i oczywiście otrzymasz ZNIŻKĘ na naszą SZAMĘ ba dum tss! Wsiadasz do nas? Miejsce pracy: Czekoladowa 16, Bielany Wrocławskie",1230,PART_TIME,Umowa zlecenie,Umowa zlecenie,,30.5,33.0,MONTHLY,PLN,STRUCTURED,HOURLY,True,True,61488.0,66528.0,False,False,,,,False,,1760193818000,1760193818000,pl
kierownik-lakierni-proszkowej-CID4-ID17JZsj,https://www.olx.pl/oferta/praca/kierownik-lakierni-proszkowej-CID4-ID17JZsj.html,UNKNOWN,Kierownik lakierni proszkowej,Radziejowice,"Nowo powstała firma Gambit Metal Sp. z o.o. jest lakiernią usługową zajmującą się profesjonalnym nakładaniem farby proszkowej na elementy metalowe. Własciciele firmy posiadają wieloletnie doświadczenie w branży lakierowania proszkowego. Celem firmy jest oferowanie wysokoiej jakości usług malowania proszkowego w krótkich terminach realizacji. Obowiązki: Nadzór nad procesem produkcyjnym Koordynacja pracy w celu realizacji zamówień, monitorowanie terminów wykonania i wysyłki, oraz przekazywanie informacji o możliwościach produkcyjnych Organizacja pracy podległych pracowników Szkolenie i wdrażanie pracowników na linii produkcyjnej Kontrola jakości produkowanych wyrobów Dbanie o park maszynowy i prawidłowy serwis maszyn Pomoc fizyczna, w pracy na hali dla pracowników w razie koniczeności Dbanie o bezpieczeństwo i higienę pracy (BHP) Współpraca z kierownictwem Nadzór nad dokumentacją Zapewnienie terminowej realizacji zleceń Monitorowanie i raportowanie czasu pracy podległych pracowników Dbałość o przestrzeganie przepisów BHP i przeciwpożarowych Motywowanie podległego zespołu Wymagania: Doświadczenie w pracy na lakierni proszkowej Znajomość procesów (lakierowanie proszkowe - aplikacja ręczna i automatyczna marki Gema, chemiczne przygotowanie powierzchni) - Warunek koniczeny Umiejętność organizowania pracy zespołu Komunikatywość Dobra organizacja pracy Znajomość obsługi komputera, w tym pakietu MS Office Gotowość do pracy w systemie zmianowym Umiejętność rozwiązywania problemów Komunikatywność i umiejętność pracy w zespole Wykształcenie minimum średnie, preferowane techniczne Mile widziane uprawnienia na wózki widłowe Warunki pracy, czas i pensja do uzgodnienia. W zależności od formy zatrudnienia, oraz doświadczenia.",1738,FULL_TIME,"Umowa o pracę, Samozatrudnienie, Umowa zlecenie","Umowa o pracę, Samozatrudnienie, Umowa zlecenie",,30.0,80.0,HOURLY,PLN,STRUCTURED,HOURLY,False,False,60480.0,161280.0,False,False,manager,,manager,True,,1760193818000,1760193818000,pl
asystentka-zarzadu-restauracja-wi-taj-CID4-ID17LWYi,https://www.olx.pl/oferta/praca/asystentka-zarzadu-restauracja-wi-taj-CID4-ID17LWYi.html,UNKNOWN,Asystentka Zarządu - Restauracja Wi-Taj,"Warszawa, Śródmieście","Warszawa – Plac Konstytucji Praca 5 dni w tygodniu około 6h O nas Klubokawiarnia Sp. z o.o. - właściciel restauracji Wi-Taj to znane miejsce na mapie Warszawy łączące gastronomię, kulturę i biznes. Szukamy osoby, która wesprze właściciela w codziennym zarządzaniu restauracją i sprawami organizacyjnymi. Zakres obowiązków bieżące wsparcie właściciela w zadaniach administracyjnych, prowadzenie kalendarza, organizacja spotkań i podróży, przygotowywanie dokumentów, raportów, prezentacji, kontakt z kontrahentami, dostawcami i klientami, koordynacja działań marketingowych i eventów, nadzór nad dokumentacją i obiegiem faktur, współpraca z księgowością i działem kadr, wsparcie rekrutacji i onboardingu, przypominanie o ważnych terminach, kontrolach, dokumentach. Wymagania doświadczenie w pracy biurowej lub na stanowisku asystenckim, bardzo dobra organizacja pracy i samodzielność, wysoka kultura osobista i lojalność, znajomość pakietu Office / Google Workspace, komunikatywność i umiejętność pracy z różnymi zespołami, mile widziana znajomość branży gastronomicznej. Oferujemy stabilną współpracę na umowę zlecenie, wynagrodzenie około 6000 zł brutto miesięcznie, praca w godzinach 9:30–15:30, możliwość rozwoju i nauki zarządzania firmą od strony operacyjnej, przyjazną atmosferę i bezpośredni kontakt z właścicielem. Kogo szukamy Szukamy osoby poukładanej, uczciwej i dyskretnej, która potrafi brać odpowiedzialność za powierzone zadania i dba o porządek w dokumentach tak samo jak o dobrą atmosferę w zespole. Wyślij swoje CV Temat: Asystentka Zarządu – Klubokawiarnia Warszawa Skontaktujemy się z wybranymi kandydatami.",1626,PART_TIME,Umowa zlecenie,Umowa zlecenie,,5500.0,6500.0,MONTHLY,PLN,STRUCTURED,MONTHLY,False,False,66000.0,78000.0,False,False,junior,,junior,True,,1760193818000,1760193818000,pl
recepcjonistka-ta-w-goodent-mokotow-blisko-metra-1-4-dni-w-tygodniu-CID4-ID17HVne,https://www.olx.pl/oferta/praca/recepcjonistka-ta-w-goodent-mokotow-blisko-metra-1-4-dni-w-tygodniu-CID4-ID17HVne.html,UNKNOWN,"recepcjonistka/ta w GOODENT Mokotów, blisko metra, 1-4 dni w tygodniu","Warszawa, Mokotów","W GOODENT tworzymy zespół, który profesjonalnie i z empatią pomaga pacjentom. Jeśli lubisz kontakt z ludźmi, jesteś osobą zorganizowaną i godną zaufania, masz otwartą głowę i serce i chcesz się rozwijać napisz do nas! Doświadczenie zawodowe będzie dużym atutem ale dajemy też szansę osobom na początku swojej drogi zawodowej. Zmień pracę na ciekawszą! Bardzo ważny jest dla nas rozwój pracowników zarówno osobisty jak i zawodowy, wprowadzamy nowe technologie i metody leczenia by zaspokoić potrzeby naszych pacjentów. Osoba zatrudniona na tym stanowisku będzie odpowiedzialna za: pierwszy kontakt z pacjentami GOODENT umawianie wizyt w systemie komputerowym komunikację telefoniczną i elektroniczną z pacjentami rozliczanie pacjentów, obsługę kasy fiskalnej i terminala płatniczego zarządzanie dokumentami i pocztą utrzymanie porządku i czystości w recepcji współpracę z pozostałymi członkami zespołu GOODENT Ważne jest dla nas: otwartość na drugiego człowieka chęć rozwoju zawodowego i osobistego Oferujemy: pracę w stabilnej firmie nastawionej na pomoc pacjentom, miłą i przyjazną atmosferę, rozwój zawodowy i osobisty praca 2-5 dni w tygodniu, umowa zlecenie, jesteśmy otwarci na B2B",1186,PART_TIME,"Samozatrudnienie, Umowa zlecenie","Samozatrudnienie, Umowa zlecenie",,1000.0,4000.0,MONTHLY,PLN,STRUCTURED,MONTHLY,False,False,12000.0,48000.0,False,False,,,,False,,1760193831000,1760193831000,pl
dzial-marketingu-i-sprzedazy-szuka-pracownikow-bez-doswiadczenia-CID4-ID17CYlX,https://www.olx.pl/oferta/praca/dzial-marketingu-i-sprzedazy-szuka-pracownikow-bez-doswiadczenia-CID4-ID17CYlX.html,UNKNOWN,Dział marketingu i sprzedaży szuka pracowników - bez doświadczenia !,"Katowice, Śródmieście","Cześć ! Jeżeli szukasz pierwszej pracy/chcesz się przebranżowić/szukasz swojego miejsca w świecie, albo po prostu męczy/nudzi Cię Twoja obecna praca, czytaj dalej :) Nie jest to typowe ogłoszenie o pracę z długą listą wypunktowanych wymagań ubranych w patetyczne, wyniosłe słowa, bo to po prostu do nas nie pasuje. Od lat zajmujemy się marketingiem i sprzedażą w Polsce jak i na świecie. Współpracujemy z wieloma znanymi markami i szukamy fajnych ludzi do poszerzania zespołu przy pracy z klientami (a tych mamy różnych - indywidualnych, biznesowych). Nie jesteśmy typową korporacją, gdzie wyliczają każdą minutę przerwy. Szukamy ludzi ambitnych, pozytywnych i dostępnych od już - u nas nie czeka się tygodniami na odzew - szanujemy Twój czas! Jeśli chodzi o doświadczenie - wszystkiego nauczymy (sprzedaż, rekrutacja, raporty, pozyskiwanie klientów, prowadzenie dokumentacji - to też Twoje ewentualne obowiązki) A, no i jeszcze podróże. Lubimy podróżować :) Dla nas ważne są trzy rzeczy - rozwój (dajemy realną możliwość awansu, budowania swojego zespołu, swobodę w działaniu), atmosfera (chcemy być miejscem, do którego każdego dnia przychodzi się z przyjemnością, a nie z myślą (dlaczego znowu muszą tam być?) i pieniądze (umówmy się, nikt nie przychodzi do pracy tylko po to, żeby pracować bez efektów finansowanych) Wyślij swoje CV - odezwiemy się, umówimy na rozmowę, pogadamy o szczegółach :)",1399,FULL_TIME,"Umowa o dzieło, Umowa o pracę, Umowa zlecenie","Umowa o dzieło, Umowa o pracę, Umowa zlecenie",,4500.0,8500.0,MONTHLY,PLN,STRUCTURED,MONTHLY,False,False,54000.0,102000.0,False,False,,,,False,,1760193831000,1760193831000,pl
doradca-klienta-protetyk-sluchu-CID4-ID17IpxK,https://www.olx.pl/oferta/praca/doradca-klienta-protetyk-sluchu-CID4-ID17IpxK.html,UNKNOWN,Doradca Klienta / Protetyk Słuchu,Elbląg,"Firma Marmed S.A. zajmuje się opieką nad osobami niedosłyszącymi od 1990 roku. Obecnie do jednego z naszych oddziałów szukamy osoby na stanowisko: Doradca Klienta / Protetyk Słuchu ﻿ Twoje zadania: Kompleksowa obsługa Pacjenta Przeprowadzanie badań słuchu Współpraca z laryngologiem Opieka posprzedażowa Analiza CRM Budowanie i utrzymywanie długofalowych relacji z Pacjentem Oczekujemy: Indywidualnego podejścia do każdego Klienta Komunikatywności i wysokiej kultury osobistej Oferujemy: Umowę o pracę od poniedziałku do piątku Wynagrodzenie podstawowe oraz premia sprzedażowa Szkolenia i rozwój w strukturach firmy Przyjazną atmosferę pracy w firmie Jeżeli chcesz dołączyć do naszego Zespołu, prześlij swoje CV wraz ze zdjęciem za pomocą poniższego formularza. Informujemy, że skontaktujemy się tylko z wybranymi kandydatami.",826,FULL_TIME,Umowa o pracę,Umowa o pracę,,,,,,NONE,,False,False,,,False,False,,,,False,,1760193831000,1760193831000,pl
junior-social-media-specialist-CID4-ID17CHkW,https://www.olx.pl/oferta/praca/junior-social-media-specialist-CID4-ID17CHkW.html,UNKNOWN,Junior Social Media Specialist,Rzeszów,"Dołącz do zespołu REFIX jako Junior Social Media Specialist. Agencja REFIX poszukuje ambitnej i kreatywnej osoby, która chce stawiać pierwsze kroki w świecie social media i rozwijać swoje umiejętności w pracy nad ciekawymi projektami dla marek e-commerce. Jako agencja e-commerce oferujemy kompleksowe wsparcie dla firm – od budowy stron i sklepów internetowych, przez obsługę sprzedaży na Marketplace, po prowadzenie angażujących kampanii w social media. Teraz możesz stać się częścią naszego zespołu i razem z nami tworzyć działania, które realnie wspierają rozwój marek online. Twoje zadania: Jako Junior Social Media Specialist będziesz wspierać zespół w: Tworzeniu i publikacji treści w social media (Facebook, Instagram, LinkedIn, TikTok). Przygotowywaniu prostych grafik i materiałów wizualnych (np. w Canvie). Współpracy przy planowaniu kampanii reklamowych i ich optymalizacji. Monitorowaniu działań konkurencji i aktualnych trendów w social media. Opracowywaniu pomysłów na angażujące posty i formaty treści. Pomocy w przygotowywaniu raportów i analiz efektów działań. Nie martw się – nie zostaniesz z tym sam/a. Wprowadzimy Cię w procesy i nauczymy, jak działa marketing internetowy w praktyce. Czego oczekujemy: Podstawowej znajomości mediów społecznościowych (Facebook, Instagram, LinkedIn, Twitter, TikTok, YouTube), narzędzi do zarządzania nimi oraz zainteresowania światem digital marketingu. Umiejętności tworzenia prostych treści (posty, krótkie teksty, pomysły na wideo). Chęci nauki i rozwoju w obszarze social media. Kreatywności, zaangażowania, samodzielności i dobrej organizacji pracy. Mile widziane: znajomość Canvy oraz innych narzędzi graficznych, doświadczenie (np. praktyki, własne projekty). Co oferujemy: Realne możliwości rozwoju i zdobycia doświadczenia w pracy nad projektami dla różnych branż. Wsparcie bardziej doświadczonych specjalistów i przyjazną atmosferę współpracy. Elastyczną formę współpracy (umowa o pracę, zlecenie lub B2B – zależnie od preferencji). Wynagrodzenie adekwatne do Twoich umiejętności. Dostęp do narzędzi i szkoleń, które pomogą Ci szybko się rozwijać. Dofinansowanie do prywatnej opieki medycznej. Biuro przy Rynku w Rzeszowie. Jak aplikować: Wyślij swoje CV przez portal OLX. Dołącz do REFIX i rozpocznij swoją przygodę w świecie social media. Informujemy, że będziemy odpowiadać tylko na wybrane oferty. Pozostałym kandydatom dziękujemy za zainteresowanie.",2419,FULL_TIME,"Umowa o pracę, Praktyka / staż, Samozatrudnienie, Umowa zlecenie","Umowa o pracę, Praktyka / staż, Samozatrudnienie, Umowa zlecenie",,4800.0,5500.0,MONTHLY,PLN,STRUCTURED,MONTHLY,False,False,57600.0,66000.0,False,False,junior,,junior,True,,1760193844000,1760193844000,pl
prace-magazynowe-bez-doswiadczenia-elastyczne-godz-dhl-wloclawek-CID4-ID17HNE6,https://www.olx.pl/oferta/praca/prace-magazynowe-bez-doswiadczenia-elastyczne-godz-dhl-wloclawek-CID4-ID17HNE6.html,UNKNOWN,"Prace magazynowe, bez doświadczenia, elastyczne godz., DHL Włocławek",Włocławek,"Osoba do prac magazynowych ​ OFERUJEMY:​ · Współpracę na podstawie umowy zlecenia​ · Elastyczne godziny pracy​ - praca w godzinach porannych do 11:00 i popołudniowych do 19:00, możliwa praca w soboty · Możliwość rozwoju poprzez udział w rekrutacjach wewnętrznych TWOJE ZADANIA:​ ​· Układanie przesyłek (taśmociąg - transport liniowy) ​ · Procesowanie przesyłek w wyznaczonej strefie​ · Dbanie i zapobieganie uszkodzeniu przesyłek w trakcie ich procesowania​ ​NASZE OCZEKIWANIA:​ · Umiejętność planowania i organizacji pracy​ · Umiejętność współpracy w zespole​ ​ DHL eCommerce (Poland) sp. z o.o. („DHL”) żąda podania jedynie takich danych osobowych, które są niezbędne do podjęcia decyzji o rozpoczęciu współpracy. W szczególności DHL nie żąda przesyłania zdjęcia. Podanie przez Ciebie danych osobowych przekraczających zakres danych osobowych wymaganych przez DHL oznacza wyrażenie przez Ciebie zgody na przetwarzanie tych danych. Przesłanie przez Ciebie zdjęcia, oznacza wyrażenie wyraźnej zgody na przetwarzanie danych nim objętych. Jeśli przekazane przez Ciebie dokumenty aplikacyjne zawierają dane, o których mowa w art. 9 ust. W przypadku kandydatów na kurierów/kurierki, dane osobowe zostaną udostępnione wybranym przewoźnikom, którzy zatrudniają takie osoby w ramach współpracy z DHL. z o.o. z siedzibą w Warszawie, przy ul. Osmańskiej 2, 02-823 Warszawa, moich danych osobowych zawartych w dokumentach aplikacyjnych na potrzeby przyszłych rekrutacji przez okres 12 miesięcy od momentu otrzymania danych przez DHL/przesłania przeze mnie zgłoszenia rekrutacyjnego.” Możesz z łatwością cofnąć zgodę w dowolnym momencie. Wycofanie zgody nie wpływa na zgodność z prawem przetwarzania dokonanego przed jej wycofaniem. Administratorem Twoich danych osobowych zawartych w zgłoszeniu jest DHL eCommerce (Poland) sp. z o.o. z siedzibą w Warszawie, przy ul. Osmańskiej 2, 02-823 Warszawa. Masz także prawo do wniesienia w dowolnym momencie sprzeciwu wobec przetwarzania – z przyczyn związanych ze swoją szczególną sytuacją. Więcej informacji znajdziesz pod poniższym linkiem: Rekrutacja (umowy cywilno-prawne) Uprzejmie informujemy, że w DHL eCommerce (Poland) sp. z o.o. obowiązuje procedura zgłoszeń wewnętrznych pozwalająca na zgłoszenie informacji o naruszeniu prawa.",2270,PART_TIME,Umowa zlecenie,Umowa zlecenie,,,,,,NONE,,False,False,,,False,False,,,,False,,1760193844000,1760193844000,pl
otwieramy-sie-w-warszawie-szukamy-wlasnie-ciebie-sluzbowe-auto-CID4-ID17CwLz,https://www.olx.pl/oferta/praca/otwieramy-sie-w-warszawie-szukamy-wlasnie-ciebie-sluzbowe-auto-CID4-ID17CwLz.html,UNKNOWN,Otwieramy się w Warszawie! Szukamy właśnie Ciebie! Służbowe auto!,"Warszawa, Targówek","Opis EasyEko – Rozwijamy się. Rekrutujemy. Warszawa! Znasz się na sprzedaży? A może po prostu masz gadane, nie boisz się ludzi i chcesz zarabiać konkretne pieniądze? Dobrze trafiłeś, chętnie zatrudniamy ludzi bez doświadczenia i wszystkiego nauczymy. EasyEko to dynamicznie rozwijająca się firma z branży odnawialnych źródeł energii. Od 2018 roku pomagamy Polakom uniezależniać się od rosnących cen energii – dostarczając nowoczesne instalacje fotowoltaiczne, pompy ciepła i piece gazowe. Nasze realizacje zasilają i ogrzewają już tysiące domów. Kogo szukamy? Ludzi, którzy wiedzą, że sukces zależy od ich zaangażowania. Osób otwartych, rozmownych i samodzielnych. Tych, którzy chcą zarabiać więcej niż „średnia krajowa”. I tych z prawem jazdy kat. B – bo u nas jesteś mobilny. Nie musisz mieć doświadczenia – wszystkiego Cię nauczymy. Liczą się chęci i charakter. Co dajemy w zamian? Pewną podstawę + prowizję – spokojnie wyciągniesz 8 000 – 20 000 zł na rękę. Umowa o pracę – nie bawimy się w półśrodki. Służbowe auto z kartą paliwową – również do prywatnego użytku. Gotowe umówione spotkania – nie musisz sam szukać klienta. Szkolenie i wsparcie – krok po kroku wprowadzimy Cię w temat. Realne możliwości awansu – działasz dobrze = idziesz w górę. Benefity – karta Medicover sport, biuro w Warszawie i ekipa, z którą po prostu chce się pracować. Dlaczego warto z nami? Bo szanujemy Twój czas i Twoją pracę. Bo zarobki zależą od efektów, nie od stażu. Bo u nas zespół to nie pusty slogan. Wspieramy się, uczymy od siebie i celebrujemy sukcesy razem. Bo stawiamy na jakość, nie ilość – nie gonimy za tabelkami, tylko budujemy prawdziwe relacje z klientami. Nie musisz mieć super CV. Wystarczy, że masz charakter i chcesz działać. Wysłanie CV i rozmowa z nami nic Cię nie kosztuje a możesz wiele zyskać.",1803,FULL_TIME,Umowa o pracę,Umowa o pracę,,7000.0,18500.0,MONTHLY,PLN,STRUCTURED,MONTHLY,False,False,84000.0,222000.0,False,False,,,,False,,1760193844000,1760193844000,pl
umowa-zlecenie-sklep-pepco-strzegom-wojska-polskiego-80-sezon-x-xii-CID4-ID17CGJl,https://www.olx.pl/oferta/praca/umowa-zlecenie-sklep-pepco-strzegom-wojska-polskiego-80-sezon-x-xii-CID4-ID17CGJl.html,UNKNOWN,"Umowa zlecenie - sklep Pepco Strzegom, Wojska Polskiego 80 Sezon X/XII",Strzegom,"Pepco jest znaną i cenioną marką, obecną w 18 europejskich krajach. Każdego miesiąca ponad 30 milionów Klientów odwiedza niemal 4 tysiące naszych sklepów. Za tym sukcesem stoi ponad 25 tys. Pracowników w sklepach, którzy dbają o najlepsze doświadczenia zakupowe naszych Klientów oraz kilka tysięcy Pracowników naszych Centrów Dystrybucji oraz Biur w całej Europie. Naszą największą siłą są ludzie i to dzięki ich pasji i energii wciąż mamy odwagę sięgać po więcej! Obecnie - w związku z dynamicznym rozwojem - poszukujemy osób do pracy w sklepie Pepco w miejscowości: Strzegom, Wojska Polskiego 80 Sezon X/XII Polubisz swoją pracę w Pepco, ponieważ gwarantujemy Ci: elastyczny czas pracy umowę zlecenie (0,75 etatu) wynagrodzenie wypłacane w terminie wsparcie przyjaznego zespołu Do Twoich zadań należeć będzie: rozpakowanie i segregacja towaru z dostawy, wykładanie towaru na sali sprzedaży zgodnie z zasadami VM, wieszanie odzieży na wieszakach, wykonywanie prac porządkowych na sali sprzedaży i w pomieszczeniu socjalnym. Jeżeli: masz wykształcenie min. zawodowe lubisz pracować z ludźmi doświadczenie w pracy w sklepie będzie mile widziane Dołącz do zespołu Pepco!",1168,TEMP,Umowa zlecenie,Umowa zlecenie,,18.0,,MONTHLY,EUR,DESCRIPTION,HOURLY,True,True,36288.0,,False,False,,,,False,,1760193857000,1760193857000,pl
